ID	Species	GSMID	Cell_line	Cell_type	Tissue_type	Factor	File
8937	Mus musculus	GSM932927	None	B Lymphocyte	Lymph Node	PAX5	8937_sort_peaks.narrowPeak.bed
8938	Mus musculus	GSM932928	None	B Lymphocyte	Lymph Node	PAX5	8938_sort_peaks.narrowPeak.bed
8939	Mus musculus	GSM932929	None	B Lymphocyte	Lymph Node	PAX5	8939_sort_peaks.narrowPeak.bed
8940	Mus musculus	GSM932930	None	B Lymphocyte	Lymph Node	PAX5	8940_sort_peaks.narrowPeak.bed
8941	Mus musculus	GSM932931	None	B Lymphocyte	Lymph Node	PAX5	8941_sort_peaks.narrowPeak.bed
8976	Mus musculus	GSM892958	None	Embryonic Stem Cell	Embryo	ZFP42	8976_sort_peaks.narrowPeak.bed
8980	Mus musculus	GSM928128	3.2N	Embryonic Stem Cell	Embryo	MEN1	8980_sort_peaks.narrowPeak.bed
9022	Mus musculus	GSM926624	AtT-20	Corticotroph	Pituitary	STAT3	9022_sort_peaks.narrowPeak.bed
9023	Mus musculus	GSM926625	AtT-20	Corticotroph	Pituitary	STAT3	9023_sort_peaks.narrowPeak.bed
9024	Mus musculus	GSM926626	AtT-20	Corticotroph	Pituitary	NR3C1	9024_sort_peaks.narrowPeak.bed
9025	Mus musculus	GSM926627	AtT-20	Corticotroph	Pituitary	NR3C1	9025_sort_peaks.narrowPeak.bed
9028	Mus musculus	GSM819083	P19.6	None	Embryo	MEIS1	9028_sort_peaks.narrowPeak.bed
9033	Mus musculus	GSM941680	P19.6	None	Embryo	TET1	9033_sort_peaks.narrowPeak.bed
9034	Mus musculus	GSM941681	P19.6	None	Embryo	TET1	9034_sort_peaks.narrowPeak.bed
9039	Mus musculus	GSM928450	None	Fibroblast	Embryo	KDM6A	9039_sort_peaks.narrowPeak.bed
9043	Mus musculus	GSM928454	None	Fibroblast	Embryo	KDM6A	9043_sort_peaks.narrowPeak.bed
9053	Mus musculus	GSM928464	V6.5	Embryonic Stem Cell	Embryo	KDM6A	9053_sort_peaks.narrowPeak.bed
9077	Mus musculus	GSM590121	TNGA	Embryonic Stem Cell	Embryo	SUZ12	9077_sort_peaks.narrowPeak.bed
9078	Mus musculus	GSM590122	TNGA	Embryonic Stem Cell	Embryo	SUZ12	9078_sort_peaks.narrowPeak.bed
9079	Mus musculus	GSM590130	TNGA	Embryonic Stem Cell	Embryo	EZH2	9079_sort_peaks.narrowPeak.bed
9080	Mus musculus	GSM590131	TNGA	Embryonic Stem Cell	Embryo	EZH2	9080_sort_peaks.narrowPeak.bed
9081	Mus musculus	GSM590132	E14	Embryonic Stem Cell	Embryo	EZH2	9081_sort_peaks.narrowPeak.bed
9082	Mus musculus	GSM590133	E14	Embryonic Stem Cell	Embryo	EZH2	9082_sort_peaks.narrowPeak.bed
9083	Mus musculus	GSM758173	TNGA	Embryonic Stem Cell	Embryo	POLR2A	9083_sort_peaks.narrowPeak.bed
9084	Mus musculus	GSM758174	TNGA	Embryonic Stem Cell	Embryo	POLR2A	9084_sort_peaks.narrowPeak.bed
9092	Mus musculus	GSM904757	None	T Lymphocyte	Spleen	STAT5A	9092_sort_peaks.narrowPeak.bed
