ID	Species	GSMID	Cell_line	Cell_type	Tissue_type	Factor	File
40053	Homo sapiens	GSM1121098	None	B Lymphocyte	Blood	CDK7	40053_sort_peaks.narrowPeak.bed
40055	Homo sapiens	GSM1121096	None	B Lymphocyte	Blood	CDK7	40055_sort_peaks.narrowPeak.bed
40056	Homo sapiens	GSM1121095	None	B Lymphocyte	Blood	BRD4	40056_sort_peaks.narrowPeak.bed
40156	Homo sapiens	GSM1082311	Kasumi-1	Myeloblast	Blood	LMO2	40156_sort_peaks.narrowPeak.bed
40162	Homo sapiens	GSM1082308	Kasumi-1	Myeloblast	Blood	TCF12	40162_sort_peaks.narrowPeak.bed
40164	Homo sapiens	GSM1082306	Kasumi-1	Myeloblast	Blood	RUNX1T1	40164_sort_peaks.narrowPeak.bed
40166	Homo sapiens	GSM1082309	Kasumi-1	Myeloblast	Blood	TCF7L1	40166_sort_peaks.narrowPeak.bed
40213	Homo sapiens	GSM1195554	U87	None	Brain	POLR2A	40213_sort_peaks.narrowPeak.bed
40215	Homo sapiens	GSM1195560	None	B Lymphocyte	Blood	IRF4	40215_sort_peaks.narrowPeak.bed
40216	Homo sapiens	GSM1195557	None	B Lymphocyte	Blood	MED1	40216_sort_peaks.narrowPeak.bed
40217	Homo sapiens	GSM1195552	U87	None	Brain	BRD4	40217_sort_peaks.narrowPeak.bed
40219	Homo sapiens	GSM1195568	H2171	Epithelium	Lung	POLR2A	40219_sort_peaks.narrowPeak.bed
40220	Homo sapiens	GSM1195567	H2171	Epithelium	Lung	BRD4	40220_sort_peaks.narrowPeak.bed
40221	Homo sapiens	GSM1195551	U87	None	Brain	BRD4	40221_sort_peaks.narrowPeak.bed
40222	Homo sapiens	GSM1195553	U87	None	Brain	POLR2A	40222_sort_peaks.narrowPeak.bed
40223	Homo sapiens	GSM1195331	None	T Lymphocyte	None	CTNNB1	40223_sort_peaks.narrowPeak.bed
40224	Homo sapiens	GSM1195563	None	Plasma Cell	None	POLR2A	40224_sort_peaks.narrowPeak.bed
40225	Homo sapiens	GSM1195569	H2171	Epithelium	Lung	BRD4	40225_sort_peaks.narrowPeak.bed
40226	Homo sapiens	GSM1195559	None	B Lymphocyte	Blood	CDK9	40226_sort_peaks.narrowPeak.bed
40227	Homo sapiens	GSM1195558	None	B Lymphocyte	Blood	CDK9	40227_sort_peaks.narrowPeak.bed
40229	Homo sapiens	GSM1195562	None	Plasma Cell	None	POLR2A	40229_sort_peaks.narrowPeak.bed
40230	Homo sapiens	GSM1195561	None	Plasma Cell	None	BRD4	40230_sort_peaks.narrowPeak.bed
40231	Homo sapiens	GSM1195570	H2171	Epithelium	Lung	POLR2A	40231_sort_peaks.narrowPeak.bed
40232	Homo sapiens	GSM1195564	None	Plasma Cell	None	POLR2A	40232_sort_peaks.narrowPeak.bed
40233	Homo sapiens	GSM1195555	None	B Lymphocyte	Blood	MED1	40233_sort_peaks.narrowPeak.bed
40234	Homo sapiens	GSM1195556	None	B Lymphocyte	Blood	MED1	40234_sort_peaks.narrowPeak.bed
40252	Homo sapiens	GSM923508	LNCaP	Epithelium	Prostate	AR	40252_sort_peaks.narrowPeak.bed
40254	Homo sapiens	GSM923509	LNCaP	Epithelium	Prostate	AR	40254_sort_peaks.narrowPeak.bed
40284	Homo sapiens	GSM535981	Shef 4	Embryonic Stem Cell	Embryo	POLR2A	40284_sort_peaks.narrowPeak.bed
40286	Homo sapiens	GSM1048850	IMR90	Fibroblast	Lung	TP53	40286_sort_peaks.narrowPeak.bed
40287	Homo sapiens	GSM1048851	IMR90	Fibroblast	Lung	TP53	40287_sort_peaks.narrowPeak.bed
40289	Homo sapiens	GSM1048852	IMR90	Fibroblast	Lung	TP53	40289_sort_peaks.narrowPeak.bed
40291	Homo sapiens	GSM1006655	U2OS	None	Bone	SIRT3	40291_sort_peaks.narrowPeak.bed
40300	Homo sapiens	GSM1006658	U2OS	None	Bone	SIRT3	40300_sort_peaks.narrowPeak.bed
40319	Homo sapiens	GSM1006657	U2OS	None	Bone	SIRT3	40319_sort_peaks.narrowPeak.bed
40328	Homo sapiens	GSM1006653	U2OS	None	Bone	SIRT3	40328_sort_peaks.narrowPeak.bed
40334	Homo sapiens	GSM1006707	HeLa	Epithelium	Cervix	MBD2	40334_sort_peaks.narrowPeak.bed
40335	Homo sapiens	GSM1006708	HeLa	Epithelium	Cervix	MBD3	40335_sort_peaks.narrowPeak.bed
40344	Homo sapiens	GSM1174486	LNCaP	Epithelium	Prostate	AR	40344_sort_peaks.narrowPeak.bed
40345	Homo sapiens	GSM1174482	LNCaP	Epithelium	Prostate	AR	40345_sort_peaks.narrowPeak.bed
40346	Homo sapiens	GSM1174488	LNCaP	Epithelium	Prostate	AR	40346_sort_peaks.narrowPeak.bed
40347	Homo sapiens	GSM1174487	LNCaP	Epithelium	Prostate	AR	40347_sort_peaks.narrowPeak.bed
40348	Homo sapiens	GSM1174714	SH-SY5Y	None	Bone Marrow	CHD5	40348_sort_peaks.narrowPeak.bed
40349	Homo sapiens	GSM1174481	LNCaP	Epithelium	Prostate	AR	40349_sort_peaks.narrowPeak.bed
40350	Homo sapiens	GSM1174480	LNCaP	Epithelium	Prostate	AR	40350_sort_peaks.narrowPeak.bed
40352	Homo sapiens	GSM1174485	LNCaP	Epithelium	Prostate	AR	40352_sort_peaks.narrowPeak.bed
40353	Homo sapiens	GSM1174491	LNCaP	Epithelium	Prostate	AR	40353_sort_peaks.narrowPeak.bed
40354	Homo sapiens	GSM1174490	LNCaP	Epithelium	Prostate	AR	40354_sort_peaks.narrowPeak.bed
40356	Homo sapiens	GSM1174484	LNCaP	Epithelium	Prostate	AR	40356_sort_peaks.narrowPeak.bed
40358	Homo sapiens	GSM1174483	LNCaP	Epithelium	Prostate	AR	40358_sort_peaks.narrowPeak.bed
40371	Homo sapiens	GSM631485	ZR-75-1	Epithelium	Mammary Gland	ESR1	40371_sort_peaks.narrowPeak.bed
40372	Homo sapiens	GSM631487	ZR-75-1	Epithelium	Mammary Gland	ESR1	40372_sort_peaks.narrowPeak.bed
40373	Homo sapiens	GSM631488	ZR-75-1	Epithelium	Mammary Gland	ESR1	40373_sort_peaks.narrowPeak.bed
40375	Homo sapiens	GSM631486	ZR-75-1	Epithelium	Mammary Gland	ESR1	40375_sort_peaks.narrowPeak.bed
40376	Homo sapiens	GSM631472	ZR-75-1	Epithelium	Mammary Gland	FOXA1	40376_sort_peaks.narrowPeak.bed
40379	Homo sapiens	GSM970828	BCBL1	B cell lymphoma	None	CTCF	40379_sort_peaks.narrowPeak.bed
41119	Homo sapiens	GSM1003708	None	Epithelium	Mammary Gland	ESR1	41119_sort_peaks.narrowPeak.bed
41121	Homo sapiens	GSM1003711	None	Epithelium	Mammary Gland	ESR1	41121_sort_peaks.narrowPeak.bed
41124	Homo sapiens	GSM1003714	None	Epithelium	Mammary Gland	ESR1	41124_sort_peaks.narrowPeak.bed
41127	Homo sapiens	GSM1003717	None	Epithelium	Mammary Gland	ESR1	41127_sort_peaks.narrowPeak.bed
41130	Homo sapiens	GSM1003720	None	Epithelium	Mammary Gland	ESR1	41130_sort_peaks.narrowPeak.bed
41133	Homo sapiens	GSM1003723	None	Epithelium	Mammary Gland	ESR1	41133_sort_peaks.narrowPeak.bed
41136	Homo sapiens	GSM1003726	None	Epithelium	Mammary Gland	ESR1	41136_sort_peaks.narrowPeak.bed
41138	Homo sapiens	GSM1003728	None	Epithelium	Mammary Gland	ESR1	41138_sort_peaks.narrowPeak.bed
41141	Homo sapiens	GSM1003731	None	Epithelium	Mammary Gland	ESR1	41141_sort_peaks.narrowPeak.bed
41144	Homo sapiens	GSM1003734	None	Epithelium	Mammary Gland	ESR1	41144_sort_peaks.narrowPeak.bed
41147	Homo sapiens	GSM1003737	None	Epithelium	Mammary Gland	ESR1	41147_sort_peaks.narrowPeak.bed
41150	Homo sapiens	GSM1003740	None	Epithelium	Mammary Gland	ESR1	41150_sort_peaks.narrowPeak.bed
41166	Homo sapiens	GSM1020363	SGBS	Adipocyte	Adipose	PPARG	41166_sort_peaks.narrowPeak.bed
41167	Homo sapiens	GSM1020364	SGBS	Adipocyte	Adipose	CEBPA	41167_sort_peaks.narrowPeak.bed
41168	Homo sapiens	GSM1020365	SGBS	Adipocyte	Adipose	NR1H3	41168_sort_peaks.narrowPeak.bed
41187	Homo sapiens	GSM1045472	DU145	Epithelium	Prostate	EED	41187_sort_peaks.narrowPeak.bed
41188	Homo sapiens	GSM1045473	DU145	Epithelium	Prostate	EED	41188_sort_peaks.narrowPeak.bed
41268	Homo sapiens	GSM1055810	IMR90	Fibroblast	Lung	RELA	41268_sort_peaks.narrowPeak.bed
41269	Homo sapiens	GSM1055811	IMR90	Fibroblast	Lung	RELA	41269_sort_peaks.narrowPeak.bed
41270	Homo sapiens	GSM1055812	IMR90	Fibroblast	Lung	EP300	41270_sort_peaks.narrowPeak.bed
41271	Homo sapiens	GSM1055813	IMR90	Fibroblast	Lung	EP300	41271_sort_peaks.narrowPeak.bed
41280	Homo sapiens	GSM1055822	IMR90	Fibroblast	Lung	POLR2A	41280_sort_peaks.narrowPeak.bed
41281	Homo sapiens	GSM1055823	IMR90	Fibroblast	Lung	POLR2A	41281_sort_peaks.narrowPeak.bed
41282	Homo sapiens	GSM1055824	IMR90	Fibroblast	Lung	POLR2A	41282_sort_peaks.narrowPeak.bed
41283	Homo sapiens	GSM1055825	IMR90	Fibroblast	Lung	CTCF	41283_sort_peaks.narrowPeak.bed
41284	Homo sapiens	GSM1056847	EP156T	Epithelium	Prostate	TP63	41284_sort_peaks.narrowPeak.bed
41286	Homo sapiens	GSM1057010	None	Monocyte	Blood	STAT1	41286_sort_peaks.narrowPeak.bed
41287	Homo sapiens	GSM1057011	None	Monocyte	Blood	STAT1	41287_sort_peaks.narrowPeak.bed
41288	Homo sapiens	GSM1057012	None	Monocyte	Blood	STAT1	41288_sort_peaks.narrowPeak.bed
41289	Homo sapiens	GSM1057013	None	Monocyte	Blood	STAT1	41289_sort_peaks.narrowPeak.bed
41290	Homo sapiens	GSM1057014	None	Monocyte	Blood	STAT1	41290_sort_peaks.narrowPeak.bed
41291	Homo sapiens	GSM1057015	None	Monocyte	Blood	STAT1	41291_sort_peaks.narrowPeak.bed
41300	Homo sapiens	GSM1057024	None	Monocyte	Blood	IRF1	41300_sort_peaks.narrowPeak.bed
41301	Homo sapiens	GSM1057025	None	Monocyte	Blood	IRF1	41301_sort_peaks.narrowPeak.bed
41302	Homo sapiens	GSM1057026	None	Monocyte	Blood	IRF1	41302_sort_peaks.narrowPeak.bed
41303	Homo sapiens	GSM1057027	None	Monocyte	Blood	IRF1	41303_sort_peaks.narrowPeak.bed
41307	Homo sapiens	GSM1057372	NOMO-1	Myeloid Cell	None	ZFX	41307_sort_peaks.narrowPeak.bed
41309	Homo sapiens	GSM1057374	RPMI-8402	T cell leukemia	Blood	ZFX	41309_sort_peaks.narrowPeak.bed
41374	Homo sapiens	GSM1071296	None	Endothelial Cell	Umbilical Vein	PR	41374_sort_peaks.narrowPeak.bed
41375	Homo sapiens	GSM1071297	None	Endothelial Cell	Umbilical Vein	PR	41375_sort_peaks.narrowPeak.bed
41376	Homo sapiens	GSM1071298	None	Endothelial Cell	Umbilical Vein	PR	41376_sort_peaks.narrowPeak.bed
41377	Homo sapiens	GSM1071299	None	Endothelial Cell	Umbilical Vein	PR	41377_sort_peaks.narrowPeak.bed
41382	Homo sapiens	GSM1081542	HEK293T	Epithelium	Embryonic Kidney	SMC3	41382_sort_peaks.narrowPeak.bed
41389	Homo sapiens	GSM1084783	MKN28	Epithelium	None	TEAD4	41389_sort_peaks.narrowPeak.bed
41391	Homo sapiens	GSM1084785	SNU216	Epithelium	None	TEAD4	41391_sort_peaks.narrowPeak.bed
41400	Homo sapiens	GSM1089817	MCF-7	Epithelium	Breast	MBD3	41400_sort_peaks.narrowPeak.bed
41402	Homo sapiens	GSM1089819	MDA-231	Epithelium	Mammary Gland	MBD3	41402_sort_peaks.narrowPeak.bed
41411	Homo sapiens	GSM1092544	HT1080	None	Connective Tissue	ERCC3	41411_sort_peaks.narrowPeak.bed
41412	Homo sapiens	GSM1092545	HT1080	None	Connective Tissue	ERCC2	41412_sort_peaks.narrowPeak.bed
41423	Homo sapiens	GSM1097496	LNCaP	Epithelium	Prostate	SFPQ	41423_sort_peaks.narrowPeak.bed
41424	Homo sapiens	GSM1097497	LNCaP	Epithelium	Prostate	SFPQ	41424_sort_peaks.narrowPeak.bed
41475	Homo sapiens	GSM1133650	OCI-Ly1	B cell lymphoma	Bone Marrow	BRD4	41475_sort_peaks.narrowPeak.bed
41476	Homo sapiens	GSM1133651	OCI-Ly1	B cell lymphoma	Bone Marrow	BRD4	41476_sort_peaks.narrowPeak.bed
41477	Homo sapiens	GSM1133652	OCI-Ly1	B cell lymphoma	Bone Marrow	POLR2A	41477_sort_peaks.narrowPeak.bed
41478	Homo sapiens	GSM1133653	OCI-Ly1	B cell lymphoma	Bone Marrow	POLR2A	41478_sort_peaks.narrowPeak.bed
41481	Homo sapiens	GSM1133656	OCI-Ly1	B cell lymphoma	Bone Marrow	E2F1	41481_sort_peaks.narrowPeak.bed
41482	Homo sapiens	GSM1133657	OCI-Ly1	B cell lymphoma	Bone Marrow	BCL6	41482_sort_peaks.narrowPeak.bed
41489	Homo sapiens	GSM1138591	DU145	Epithelium	Prostate	RING1	41489_sort_peaks.narrowPeak.bed
41490	Homo sapiens	GSM1138592	DU145	Epithelium	Prostate	RNF2	41490_sort_peaks.narrowPeak.bed
41491	Homo sapiens	GSM1138593	DU145	Epithelium	Prostate	RNF2	41491_sort_peaks.narrowPeak.bed
41492	Homo sapiens	GSM1138594	DU145	Epithelium	Prostate	BMI1	41492_sort_peaks.narrowPeak.bed
41493	Homo sapiens	GSM1138595	DU145	Epithelium	Prostate	BMI1	41493_sort_peaks.narrowPeak.bed
41496	Homo sapiens	GSM1142696	GM06993, GM11992	Lymphoblastoid	Blood	TP53	41496_sort_peaks.narrowPeak.bed
41497	Homo sapiens	GSM1142697	GM06993, GM11992	Lymphoblastoid	Blood	TP53	41497_sort_peaks.narrowPeak.bed
41500	Homo sapiens	GSM1142700	GM12878	B Lymphocyte	Blood	TP53	41500_sort_peaks.narrowPeak.bed
41502	Homo sapiens	GSM1142702	GM12878	B Lymphocyte	Blood	TP53	41502_sort_peaks.narrowPeak.bed
41515	Homo sapiens	GSM1143122	MCF-7	Epithelium	Breast	NR5A2	41515_sort_peaks.narrowPeak.bed
41516	Homo sapiens	GSM1143123	MCF-7	Epithelium	Breast	MED12	41516_sort_peaks.narrowPeak.bed
41517	Homo sapiens	GSM1143125	MCF-7	Epithelium	Breast	POLR2A	41517_sort_peaks.narrowPeak.bed
41568	Homo sapiens	GSM1146443	None	Macrophage	Blood	SPI1	41568_sort_peaks.narrowPeak.bed
41569	Homo sapiens	GSM1146444	None	Macrophage	Blood	SPI1	41569_sort_peaks.narrowPeak.bed
41572	Homo sapiens	GSM1146447	RKO	Epithelium	Colon	ING2	41572_sort_peaks.narrowPeak.bed
41573	Homo sapiens	GSM1146448	RKO	Epithelium	Colon	ING5	41573_sort_peaks.narrowPeak.bed
41574	Homo sapiens	GSM1146449	RKO	Epithelium	Colon	BRD1	41574_sort_peaks.narrowPeak.bed
41619	Homo sapiens	GSM1154044	None	Endothelial Cell	Umbilical Vein	RELA	41619_sort_peaks.narrowPeak.bed
41625	Homo sapiens	GSM1159670	OCI-Ly7	B cell lymphoma	Blood	MAFK	41625_sort_peaks.narrowPeak.bed
41627	Homo sapiens	GSM1160643	IMR90	Fibroblast	Lung	BDP1	41627_sort_peaks.narrowPeak.bed
41628	Homo sapiens	GSM1160644	IMR90	Fibroblast	Lung	POLR3D	41628_sort_peaks.narrowPeak.bed
41629	Homo sapiens	GSM1160645	IMR90	Fibroblast	Lung	POLR3G	41629_sort_peaks.narrowPeak.bed
41630	Homo sapiens	GSM1160646	IMR90	Fibroblast	Lung	POLR3GL	41630_sort_peaks.narrowPeak.bed
41688	Homo sapiens	GSM1164243	GM18505	Lymphoblastoid	Blood	POLR2A	41688_sort_peaks.narrowPeak.bed
41689	Homo sapiens	GSM1164244	GM18507	Lymphoblastoid	Blood	POLR2A	41689_sort_peaks.narrowPeak.bed
41690	Homo sapiens	GSM1164245	GM18508	Lymphoblastoid	Blood	POLR2A	41690_sort_peaks.narrowPeak.bed
41691	Homo sapiens	GSM1164246	GM18516	Lymphoblastoid	Blood	POLR2A	41691_sort_peaks.narrowPeak.bed
41692	Homo sapiens	GSM1164247	GM18522	Lymphoblastoid	Blood	POLR2A	41692_sort_peaks.narrowPeak.bed
41693	Homo sapiens	GSM1164248	GM19141	Lymphoblastoid	Blood	POLR2A	41693_sort_peaks.narrowPeak.bed
41694	Homo sapiens	GSM1164249	GM19193	Lymphoblastoid	Blood	POLR2A	41694_sort_peaks.narrowPeak.bed
41695	Homo sapiens	GSM1164250	GM19204	Lymphoblastoid	Blood	POLR2A	41695_sort_peaks.narrowPeak.bed
41696	Homo sapiens	GSM1164251	GM19238	Lymphoblastoid	Blood	POLR2A	41696_sort_peaks.narrowPeak.bed
41697	Homo sapiens	GSM1164252	GM19239	Lymphoblastoid	Blood	POLR2A	41697_sort_peaks.narrowPeak.bed
41723	Homo sapiens	GSM1171656	HeLa	Epithelium	Cervix	TFAM	41723_sort_peaks.narrowPeak.bed
41724	Homo sapiens	GSM1171657	HeLa	Epithelium	Cervix	TFAM	41724_sort_peaks.narrowPeak.bed
41725	Homo sapiens	GSM1171658	HeLa	Epithelium	Cervix	TFAM	41725_sort_peaks.narrowPeak.bed
41726	Homo sapiens	GSM1171659	HeLa	Epithelium	Cervix	TFAM	41726_sort_peaks.narrowPeak.bed
41734	Homo sapiens	GSM1176698	HEK293	Epithelium	Embryonic Kidney	NR3C1	41734_sort_peaks.narrowPeak.bed
41735	Homo sapiens	GSM1176699	HEK293	Epithelium	Embryonic Kidney	NR3C1	41735_sort_peaks.narrowPeak.bed
41736	Homo sapiens	GSM1176700	HEK293	Epithelium	Embryonic Kidney	NR3C1	41736_sort_peaks.narrowPeak.bed
41737	Homo sapiens	GSM1176701	HEK293	Epithelium	Embryonic Kidney	NR3C1	41737_sort_peaks.narrowPeak.bed
41738	Homo sapiens	GSM1176702	HEK293	Epithelium	Embryonic Kidney	NR3C1	41738_sort_peaks.narrowPeak.bed
41740	Homo sapiens	GSM1176704	HEK293	Epithelium	Embryonic Kidney	SUMO2	41740_sort_peaks.narrowPeak.bed
41741	Homo sapiens	GSM1176705	HEK293	Epithelium	Embryonic Kidney	SUMO2	41741_sort_peaks.narrowPeak.bed
41742	Homo sapiens	GSM1176706	HEK293	Epithelium	Embryonic Kidney	SUMO2	41742_sort_peaks.narrowPeak.bed
41743	Homo sapiens	GSM1176707	HEK293	Epithelium	Embryonic Kidney	SUMO2	41743_sort_peaks.narrowPeak.bed
41755	Homo sapiens	GSM1177763	U2OS	None	Bone	ZMYND11	41755_sort_peaks.narrowPeak.bed
41756	Homo sapiens	GSM1177764	U2OS	None	Bone	ZMYND11	41756_sort_peaks.narrowPeak.bed
41757	Homo sapiens	GSM1177765	U2OS	None	Bone	ZMYND11	41757_sort_peaks.narrowPeak.bed
41761	Homo sapiens	GSM1177769	U2OS	None	Bone	POLR2A	41761_sort_peaks.narrowPeak.bed
41762	Homo sapiens	GSM1177770	U2OS	None	Bone	POLR2A	41762_sort_peaks.narrowPeak.bed
41763	Homo sapiens	GSM1177771	U2OS	None	Bone	POLR2A	41763_sort_peaks.narrowPeak.bed
41764	Homo sapiens	GSM1177772	U2OS	None	Bone	POLR2A	41764_sort_peaks.narrowPeak.bed
41788	Homo sapiens	GSM1180129	None	iPSC	None	EZH2	41788_sort_peaks.narrowPeak.bed
41790	Homo sapiens	GSM1180131	None	iPSC	None	JARID2	41790_sort_peaks.narrowPeak.bed
41791	Homo sapiens	GSM1180132	None	iPSC	None	EZH2	41791_sort_peaks.narrowPeak.bed
41793	Homo sapiens	GSM1180134	None	iPSC	None	JARID2	41793_sort_peaks.narrowPeak.bed
41794	Homo sapiens	GSM1180135	None	iPSC	None	EZH2	41794_sort_peaks.narrowPeak.bed
41797	Homo sapiens	GSM1180138	None	iPSC	None	JARID2	41797_sort_peaks.narrowPeak.bed
41798	Homo sapiens	GSM1180139	None	iPSC	None	EZH2	41798_sort_peaks.narrowPeak.bed
41801	Homo sapiens	GSM1180142	None	iPSC	None	JARID2	41801_sort_peaks.narrowPeak.bed
41802	Homo sapiens	GSM1180143	Edom-iPS-2	iPSC	None	EZH2	41802_sort_peaks.narrowPeak.bed
41803	Homo sapiens	GSM1180144	None	iPSC	None	EZH2	41803_sort_peaks.narrowPeak.bed
41807	Homo sapiens	GSM1180148	Edom-iPS-2	iPSC	None	JARID2	41807_sort_peaks.narrowPeak.bed
41808	Homo sapiens	GSM1180149	None	iPSC	None	JARID2	41808_sort_peaks.narrowPeak.bed
41809	Homo sapiens	GSM1180150	None	iPSC	None	EZH2	41809_sort_peaks.narrowPeak.bed
41812	Homo sapiens	GSM1180153	None	iPSC	None	JARID2	41812_sort_peaks.narrowPeak.bed
41813	Homo sapiens	GSM1180154	None	iPSC	None	EZH2	41813_sort_peaks.narrowPeak.bed
41816	Homo sapiens	GSM1180157	None	iPSC	None	JARID2	41816_sort_peaks.narrowPeak.bed
41817	Homo sapiens	GSM1180158	None	iPSC	None	EZH2	41817_sort_peaks.narrowPeak.bed
41820	Homo sapiens	GSM1180161	None	iPSC	None	JARID2	41820_sort_peaks.narrowPeak.bed
41821	Homo sapiens	GSM1180162	None	iPSC	None	EZH2	41821_sort_peaks.narrowPeak.bed
41824	Homo sapiens	GSM1180165	None	iPSC	None	JARID2	41824_sort_peaks.narrowPeak.bed
41825	Homo sapiens	GSM1180166	None	iPSC	None	EZH2	41825_sort_peaks.narrowPeak.bed
41828	Homo sapiens	GSM1180169	None	iPSC	None	JARID2	41828_sort_peaks.narrowPeak.bed
41831	Homo sapiens	GSM1181982	MDA-MD-231	Epithelium	Mammary Gland	ZBTB17	41831_sort_peaks.narrowPeak.bed
41850	Homo sapiens	GSM1187229	None	Fibroblast	None	ASCL1	41850_sort_peaks.narrowPeak.bed
41852	Homo sapiens	GSM1187231	NHEK	Keratinocyte	Skin	ASCL1	41852_sort_peaks.narrowPeak.bed
41974	Homo sapiens	GSM1215133	HEK293T	Epithelium	Embryonic Kidney	EZH2	41974_sort_peaks.narrowPeak.bed
42100	Homo sapiens	GSM1220022	HEK293T	Epithelium	Embryonic Kidney	BRD4	42100_sort_peaks.narrowPeak.bed
42102	Homo sapiens	GSM1220024	HEK293T	Epithelium	Embryonic Kidney	BRD4	42102_sort_peaks.narrowPeak.bed
42148	Homo sapiens	GSM1224649	HCT-116	None	Colon	CTCF	42148_sort_peaks.narrowPeak.bed
42149	Homo sapiens	GSM1224650	HCT-116	None	Colon	CTCF	42149_sort_peaks.narrowPeak.bed
42150	Homo sapiens	GSM1224651	HCT-116	None	Colon	CTCF	42150_sort_peaks.narrowPeak.bed
42151	Homo sapiens	GSM1224652	HCT-116	None	Colon	CTCF	42151_sort_peaks.narrowPeak.bed
42152	Homo sapiens	GSM1224653	HCT-116	None	Colon	CTCF	42152_sort_peaks.narrowPeak.bed
42153	Homo sapiens	GSM1224654	HCT-116	None	Colon	CTCF	42153_sort_peaks.narrowPeak.bed
42154	Homo sapiens	GSM1224655	HCT-116	None	Colon	CTCF	42154_sort_peaks.narrowPeak.bed
42155	Homo sapiens	GSM1224656	K562	Erythroblast	Bone Marrow	CTCF	42155_sort_peaks.narrowPeak.bed
42156	Homo sapiens	GSM1224657	K562	Erythroblast	Bone Marrow	CTCF	42156_sort_peaks.narrowPeak.bed
42157	Homo sapiens	GSM1224658	K562	Erythroblast	Bone Marrow	CTCF	42157_sort_peaks.narrowPeak.bed
42158	Homo sapiens	GSM1224659	K562	Erythroblast	Bone Marrow	CTCF	42158_sort_peaks.narrowPeak.bed
42159	Homo sapiens	GSM1224660	K562	Erythroblast	Bone Marrow	CTCF	42159_sort_peaks.narrowPeak.bed
42169	Homo sapiens	GSM1224781	Jurkat	T Lymphocyte	Blood	POLR2A	42169_sort_peaks.narrowPeak.bed
42171	Homo sapiens	GSM1224784	Jurkat	T Lymphocyte	Blood	POLR2A	42171_sort_peaks.narrowPeak.bed
42172	Homo sapiens	GSM1224785	Jurkat	T Lymphocyte	Blood	POLR2A	42172_sort_peaks.narrowPeak.bed
42173	Homo sapiens	GSM1224786	Jurkat	T Lymphocyte	Blood	POLR2A	42173_sort_peaks.narrowPeak.bed
42174	Homo sapiens	GSM1224787	Jurkat	T Lymphocyte	Blood	POLR2A	42174_sort_peaks.narrowPeak.bed
42176	Homo sapiens	GSM1226221	None	Melanocyte	None	MITF	42176_sort_peaks.narrowPeak.bed
42177	Homo sapiens	GSM1226222	None	Melanocyte	None	MITF	42177_sort_peaks.narrowPeak.bed
42178	Homo sapiens	GSM1226223	COLO-829	Fibroblast	Skin	MITF	42178_sort_peaks.narrowPeak.bed
42179	Homo sapiens	GSM1226224	COLO-829	Fibroblast	Skin	MITF	42179_sort_peaks.narrowPeak.bed
42212	Homo sapiens	GSM1227204	OCI-Ly10	B Lymphocyte	Bone Marrow	STAT3	42212_sort_peaks.narrowPeak.bed
42213	Homo sapiens	GSM1227205	OCI-Ly19	B cell lymphoma	Bone Marrow	STAT3	42213_sort_peaks.narrowPeak.bed
42214	Homo sapiens	GSM1227206	OCI-Ly3	B Lymphocyte	Bone Marrow	STAT3	42214_sort_peaks.narrowPeak.bed
42215	Homo sapiens	GSM1227207	OCI-Ly7	B cell lymphoma	Blood	STAT3	42215_sort_peaks.narrowPeak.bed
42216	Homo sapiens	GSM1227208	SU-DHL10	B Lymphocyte	None	STAT3	42216_sort_peaks.narrowPeak.bed
42217	Homo sapiens	GSM1227209	SU-DHL2	B Lymphocyte	None	STAT3	42217_sort_peaks.narrowPeak.bed
42218	Homo sapiens	GSM1227210	SU-DHL4	B Lymphocyte	Peritoneal Effusion	STAT3	42218_sort_peaks.narrowPeak.bed
42219	Homo sapiens	GSM1227211	SU-DHL6	B Lymphocyte	Lymph Node	STAT3	42219_sort_peaks.narrowPeak.bed
42220	Homo sapiens	GSM1227212	U-2932	B Lymphocyte	None	STAT3	42220_sort_peaks.narrowPeak.bed
42255	Homo sapiens	GSM1233869	GM10847	Lymphoblastoid	Blood	CTCF	42255_sort_peaks.narrowPeak.bed
42256	Homo sapiens	GSM1233870	GM10847	Lymphoblastoid	Blood	CTCF	42256_sort_peaks.narrowPeak.bed
42257	Homo sapiens	GSM1233871	GM10847	Lymphoblastoid	Blood	CTCF	42257_sort_peaks.narrowPeak.bed
42269	Homo sapiens	GSM1233885	GM10847	Lymphoblastoid	Blood	STAG1	42269_sort_peaks.narrowPeak.bed
42270	Homo sapiens	GSM1233886	GM10847	Lymphoblastoid	Blood	STAG1	42270_sort_peaks.narrowPeak.bed
42271	Homo sapiens	GSM1233887	GM12878	B Lymphocyte	Blood	CTCF	42271_sort_peaks.narrowPeak.bed
42272	Homo sapiens	GSM1233888	GM12878	B Lymphocyte	Blood	CTCF	42272_sort_peaks.narrowPeak.bed
42293	Homo sapiens	GSM1233911	GM12878	B Lymphocyte	Blood	STAG1	42293_sort_peaks.narrowPeak.bed
42294	Homo sapiens	GSM1233912	GM12878	B Lymphocyte	Blood	STAG1	42294_sort_peaks.narrowPeak.bed
42295	Homo sapiens	GSM1233913	GM12878	B Lymphocyte	Blood	STAG1	42295_sort_peaks.narrowPeak.bed
42296	Homo sapiens	GSM1233914	GM12890	Lymphoblastoid	Blood	CTCF	42296_sort_peaks.narrowPeak.bed
